Нөгөө талаар Хөвсгөлийн байгалийн цогцолбор газарт нэвтрэхэд 1,000 төгрөг авдаг .	Нөгөө тал @аар Хөвсгөл @ийн байгал @ийн цогцолох @бор газар @т нэвтрэх @д 1,000 төгрөг авах @даг .
Компанийн урт хугацааны стратеги төлөвлөгөөг боловсруулсан.	Компани @@ийн урт хугацаа @@ны стратеги төлөв @@лөх @@гөө @@г боловсрох @@уулах @@сан .
Бас Энэтхэг улс гэхэд зарим тохиолдолд ямар ч татваргүй бараагаа импортлодог.	Бас Энэтхэг улс гэх @@д зарим тохиох @@лдох @@л @@д ямар ч татах @@вар @@гүй бараа @@гаа импорт @@лох @@дог .
Бусад залуучуудын нэгэн адил кино урлагт дуртай.	Бусад залуу @@чууд @@ын нэг @@н адил кино ур @@лаг @@т дур @@тай .
Абдаль Уксус манай сурагчдын нэг.	Абдаль Уксус манай сурах @@гч @@д @@ын нэг .
Энэ нь иргэдийн эмийн талаар мэдлэг муу, зохистой хэрэглээг мэдэхгүй байгааг харуулж байна.	Энэ нь иргэн @@д @@ийн эм @@ийн тал @@аар мэдэх @@лэг муу , зохих @@стой хэрэг @@лээ @@г мэдэх @@гүй байх @@гаа @@г харах @@уулах @@ж байх @@на .
Тэдэнд Хойд Солонгосын заналхийллээс өмнө энэ талаарх ямар ч ойлголт байхгүй байв.	Тэд @@д Хойд Солонгос @@ын занах @@л @@хийлэх @@л @@ээс өмнө энэ тал @@аар @@х ямар ч ой @@лгох @@лт байх @@гүй байх @@в .
Ракка хотоос зугтсан исламист бүлэглэлийнхэнд зориулагдсан зэр зэвсэг энд хадгалагдаж байсан гэнэ.	Ракка хот @@оос зугтах @@сан исламист бүлэг @@лэл @@ийн @@х @@д зорих @@уулах @@гдах @@сан зэр зэв @@сэг энэ @@д хадгалах @@гдах @@ж байх @@сан гэх @@нэ .
Хүнс болон хүнсний ногооны хувьд ч төрөөс байгаа боломжоороо дэмжиж, худалдан авалт хийх ёстой.	Хүнс болон хүнс @@ний ногоо @@ны хувь @@д ч төр @@өөс байх @@гаа болох @@мж @@оор @@оо дэм @@жих @@ж , худалдах @@н авах @@лт хийх ёс @@той .
Эрх баригч нам ажил хийж чадахгүй байгаагийн хор нь 41 шинэ гишүүн орж ирснээр илэрч байна.	Эрх барих @@гч нам ажил хийх @@ж чадах @@гүй байх @@гаа @@ийн хор нь 41 шинэ гишүүн орох @@ж ирэх @@сэн @@ээр ил @@рэх @@ч байх @@на .
Мөн бизнес эрхлэгчдийн цаг хугацааг хэмнэж, үйл ажиллагааг нь хөнгөвчилнө.	Мөн бизнес эрх @@лэх @@гч @@д @@ийн цаг хугацаа @@г хэмнэх @@ж , үйл ажил @@лах @@гаа @@г нь хөнгөн @@вч @@лөх @@нө .
Баталгаа байхгүй бол мэдээж ажлын хэсгийг найрах хэрэгтэй болно.	Батлах @@гаа байх @@гүй бол мэдэх @@ээж ажил @@ын хэсэг @@ийг найр @@х хэрэг @@тэй болох @@но .
Нүүдэлчин хүн маш эрх чөлөөтэй л гэдэг.	Нүүх @@дэл @@чин хүн маш эрх чөлөө @@тэй л гэх @@дэг .
БСШУСЯ-ны хамт олон тайлангийн хурлаа хийлээ.	БСШУСЯ-ны хамт олон тайлан @@ийн хурал @@аа хийх @@лээ .
Эрх баригч нам залуучуудын улс төрийн оролцоог багасгах, хүний эрхэнд халдах үйлдэл хийж байна гэж хардаж байгаа.	Эрх барих @@гч нам залуу @@чууд @@ын улс төр @@ийн орох @@лцох @@оо @@г бага @@сгах , хүн @@ий эрх @@д хал @@дах үйл @@дэх @@л хийх @@ж байх @@на гэх @@ж хар @@дах @@ж байх @@гаа .
Хоёрхон жишээ хэлье.	Хоёр @@хон жишээ хэлэх @@е .
1990-ээд онд анх нээгдсэн эдгээр муммиг эртний Египетийн түшмэлүүдийн шарил байсан гэж үздэг ба саяхныг хүртэл лацтай хадгалагдаж байжээ.	1990-ээд он @@д анх нээх @@гдэх @@сэн эдгээр мумми @@г эрт @@ний Египет @@ийн түших @@мэл @@үүд @@ийн шарил байх @@сан гэх @@ж үзэх @@дэг ба сая @@хан @@ыг хүртэл лац @@тай хадгалах @@гдах @@ж байх @@жээ .
Өдгөө тоног төхөөрөмж нь элэгдсэн учраас шинэчлэх шаардлагатай.	Өдгөө тоног төхөөрөмж нь элэгдэх @@сэн учир @@аас шинэ @@члэх шаардах @@лага @@тай .
Бусад долоон хүнд бүх насаар хорих ялыг тус бүр нэгээс 17 удаа давхардуулан оноосон байна.	Бусад долоо @@н хүн @@д бүх нас @@аар хорих ял @@ыг тус бүр нэг @@ээс 17 удаа давхар @@дах @@уулах @@н оноох @@сон байх @@на .
Бид хүүхэд залуусын санаачилгаар энэхүү хаягдлыг ялгах, зориулалтын газар хаях зэрэг арга хэмжээг зохион байгуулж, шилдэг оролцогчдыг урамшуулах юм.	Би @@д хүү @@хэд залуу @@с @@ын санаа @@чилга @@аар энэ @@хүү хаях @@гдах @@л @@ыг ялгах , зорих @@уулах @@лт @@ын газар хаях зэрэг арга хэмжээ @@г зохиох @@н байх @@уулах @@ж , шилдэг орох @@лцох @@гч @@д @@ыг урам @@ших @@уулах юм .
Хойд Солонгосын цөмийн зэвсгийг хураах ажил бэрхшээлтэй тулгарсан тухай мэдээлэл тараад байгаа.	Хойно @@д Солонгос @@ын цөм @@ийн зэв @@сэг @@ийг хураах ажил бэрх @@шээл @@тэй тулах @@гарах @@сан тухай мэдэх @@ээ @@лэх @@л тарах @@аад байх @@гаа .
131 дүгээр цэцэрлэг 310 310 7.2.	131 дүгээр цэцэрлэг 310 310 7.2 .
Харин наймдугаар сарын сүүлээр ингэж бороошвол ургац хураалтад хүндрэлтэй байдаг.	Харин найм @@дугаар сар @@ын сүүл @@ээр ингэх @@ж бороо @@ших @@вол ургах @@ц хураах @@лт @@д хүнд @@рэх @@л @@тэй байх @@даг .
Нийгмийн ухааны хичээлүүдэд энэ талаар заах гэнэ.	Нийгэм @@ийн ухах @@аан @@ы хичээх @@л @@үүд @@д энэ тал @@аар заах гэх @@нэ .
Боловсролын сайдын багцад байгаа хөрөнгөөс илүү цагийн хөлсийг шийднэ.	Боловсрох @@л @@ын сайд @@ын багц @@д байх @@гаа хөрөнгө @@өөс илүү цаг @@ийн хөлс @@ийг шийд @@нэ .
Хичээлийн шинэ жил эрдмийн баяр, хүүхдүүдийн баяр учраас энэ өдөр инээд хөөр баяраар дүүрэн байх ёстой.	Хичээх @@л @@ийн шинэ жил эрдэм @@ийн баяр , хүү @@хэд @@үүд @@ийн баяр учир @@аас энэ өдөр инээх @@д хөөр баяр @@аар дүүрэх @@н байх ёс @@той .
Гэхдээ энэ бол уламжлал.	Гэх @@дээ энэ бол уламжлах @@л .
Үүнтэй холбогдуулан гишүүдэд хандаж нэг зүйл хэлье.	Үүнтэй холбох @@гдох @@уулах @@н гишүүн @@д @@д хандах @@ж нэг зүйл хэлэх @@е .
Энэ нь хоол боловсруулахад маш эерэг нөлөөтэй.	Энэ нь хоол боловсрох @@уулах @@д маш эерэг нөлөө @@тэй .
Үүнийг хуулиараа зөрчил гэж үзэхэд хэцүү.	Үүнийг хууль @@аар @@аа зөрөх @@чих @@л гэх @@ж үзэх @@д хэцүү .
Философич байхгүй, уран зохиолын ном, роман бичдэг хүн бас алга.	Философи @@ч байх @@гүй , уран зохиох @@л @@ын ном , роман бичих @@дэг хүн бас алга .
Нөгөөх нь төгрөгийг хугацааны хувьд тогтвортой байлгах буюу инфляцийг тодорхой түвшинд байлгах тухай юм.	Нөгөө @@х нь төгрөг @@ийг хугацаа @@ны хувь @@д тогтох @@вор @@той байх @@лгах буюу инфляци @@ийг тод @@рох @@ой түвшин @@д байх @@лгах тухай юм .
Ингээд 2016 оны хоёрдугаар сард шүүх хурал нь болж, Санхүүгийн зохицуулах хороо ялагдал хүлээсэн байдаг.	Ингэх @@ээ @@д 2016 он @@ы хоёр @@дугаар сар @@д шүүх хурал нь болох @@ж , Сан @@хүү @@г @@ийн зохих @@цох @@уулах хороо ял @@гдах @@л хүлээх @@сэн байх @@даг .
Хохирогчийн талаарх мэдээллийг үдээс хойш мэдэгдэхэд гэрийнхэн нь очсон.	Хохирох @@гч @@ийн тал @@аар @@х мэдэх @@ээ @@лэх @@л @@ийг үд @@ээс хойно @@ш мэдэх @@гдэх @@д гэр @@ийн @@хэн нь очих @@сон .
Би бололвсролын салбарт 10 гаруй жил ажиллаж байгаад 2014 оноос хүүхдээ хараад гэртээ сууж байгаа.	Би бололвсрох @@л @@ын салах @@бар @@т 10 гаруй жил ажил @@лах @@ж байх @@аа @@д 2014 он @@оос хүү @@хэд @@ээ харах @@аа @@д гэр @@тээ суух @@ж байх @@гаа .
Дэлхийн аварга шалгаруулах тэмцээнээс медаль хүртсэн л бол гавьяат хэмээх цолоор энгэрээ мялаах бичигдээгүй дүрэм спортынхонд үйлчилдэг.	Дэлхий @@н аварга шалгах @@рах @@уулах тэмцэх @@ээн @@ээс медаль хүртэх @@сэн л бол гавьяа @@т хэмээх цол @@оор энгэр @@ээ мялаах бичих @@гдэх @@ээ @@гүй дүрэм спорт @@ын @@хон @@д үйл @@чилэх @@дэг .
Аль нэг яамны сайд солигдоход дэд сайд, төрийн нарийн бичгийн дарга, газар, хэлтсийн дарга хүртэл солигдох тохиолдол байдаг.	Аль нэг яам @@ны сайд солих @@гдох @@д дэд сайд , төр @@ийн нарийн бичиг @@ийн дарга , газар , хэлтэс @@ийн дарга хүртэл солих @@гдох тохиох @@лдох @@л байх @@даг .
Үүний нэг нь болох гар бөмбөгийн тэмцээнд оролцохоор бэлдэж байна.	Үүний нэг нь болох гар бөмбөг @@ийн тэмцэх @@ээн @@д орох @@лцох @@оор бэлдэх @@ж байх @@на .
Тэгээд одоо дампуурах уу, яах уу гэж байсан цаг үе бий дээ.	Тэгэх @@ээд одоо дампуурах уу , яах уу гэх @@ж байх @@сан цаг үе бий дээ .
Багш нар хамгийн сайн зөвлөгч байдаг ч тэдний сонголтод нөлөөлж чаддаг, эсэх талаар багш нарын сэтгэгдлийг дор хүргэе.	Багш нар хамгийн сайн зөв @@лөх @@гч байх @@даг ч тэр @@д @@ний сонгох @@лт @@д нөлөө @@лөх @@ж чадах @@даг , эсэх тал @@аар багш нарын сэтгэх @@гдэх @@л @@ийг дор хүрэх @@гэх @@е .
Харин түүнийгээ наминчлан гэмшиж, засч залруулж чадаж байна уу гэдэг эргэлзээтэй юм.	Харин түүнийг @@ээ наминчлах @@н гэм @@ших @@ж ,  засах @@ч залруулах @@ж чадах @@ж байх @@на уу гэх @@дэг эргэлзээ @@тэй юм .
Тарифын өөрчлөлтөөс гадна өөр нэг том өөрчлөлт тусгасан нь энэ.	Тариф @@ын өөр @@члөх @@лт @@өөс гадна өөр нэг том өөр @@члөх @@лт тусах @@гах @@сан нь энэ .
Сю Шүжан Монголын автономийг устгаад санаа амарсангүй, алдар гавьяагаа нэгмөсөн мөнхлөхийн тулд энэ явдлыг тохиолдуулан томхон үзүүлбэр тоглолт зохиохоор шийджээ.	Сю Шүжан Монгол @@ын автоном @@ийг устгах @@аад санаа амар @@сан @@гүй , алдар гавья @@аа @@гаа нэг @@мөсөн мөнх @@лөх @@ийн тул @@д энэ явах @@дал @@ыг тохиох @@лдох @@уулах @@н том @@хон үзэх @@үүлэх @@бэр тоглох @@лт зохиох @@оор шийдэх @@жээ .
Эдгээрийн гуравны хоёр нь сүүний чиглэлийнх бол үлдсэн нь махны зориулалттай.	Эдгээр @@ийн гурав @@ны хоёр нь сүү @@ний чиг @@лэх @@л @@ийн @@х бол үлдэх @@сэн нь мах @@ны зорих @@уулах @@лт @@тай .
Өөрийгөө сориод үзээрэй.	Өөрөө @@ийг @@өө сорих @@оод үзэх @@ээр @@эй .
Эрдэнэ зуу хийдийн 400 жилийн настай зургийг харахад саяхан л зурсан юм шиг харагддаг ч хэн зурсан нь мэдэгддэггүй.	Эрдэнэ зуу хийд @@ийн 400 жил @@ийн нас @@тай зураг @@ийг харах @@д сая @@хан л зурах @@сан юм шиг харах @@гдах @@даг ч хэн зурах @@сан нь мэдэх @@гдэх @@дэг @@гүй .
Тэд өөрийнхөө нам дотор үзэж байна.	Тэр @@д өөрөө @@ийн @@өө нам дотор үзэх @@ж байх @@на .
Нэр хүндтэй хэвлэл учир нэг удаа би өршөөе.	Нэр хүндтэй хэвлэх @@л учир нэг удаа би өршөөх @@е .
Мэдээж геополитек, улс төр, олон улсын харилцааны нарийн ёс жаяг гээд олон зүйл байгаа л байх даа.	Мэдэх @@ээж геополитек , улс төр , олон улс @@ын харилцах @@аа @@ны нарийн ёс жаяг гэх @@ээд олон зүйл байх @@гаа л байх даа .
Бүр дэмжсэн шиг дэмжих хэрэгтэй гэсэн тийм төсөлд хөрөнгө оруулалт хийнэ.	Бүр дэм @@жих @@сэн шиг дэм @@жих хэрэг @@тэй гэх @@сэн тийм төсөл @@д хөрөнгө орох @@уулах @@лт хийх @@нэ .
Өөрөөр хэлбэл, нэгдсэн нэг сувгаар экспортоо нэмэгдүүлэх боломжтой.	Өөр @@өөр хэлэх @@бэл , нэг @@дэх @@сэн нэг суваг @@аар экспорт @@оо нэм @@гдэх @@үүлэх болох @@мж @@той .
Үүний хажуугаар намын нэр хүндэд сэв суулгаж байгаа зарим сонгуульт ажилтнуудад хатуу хариуцлага тооцно.	Үүний хажуу @@гаар нам @@ын нэр хүнд @@д сэв суулгах @@ж байх @@гаа зарим сонгох @@ууль @@т ажил @@тан @@ууд @@д хатуу хариуцах @@лага тоо @@цох @@но .
Төрийн шагнал хүртэгсэд, тэдний гэр бүл, ойр дотныхон, хамт олонд халуун баяр хүргэе.	Төр @@ийн шан @@гнах @@л хүрэх @@тэх @@гс @@д , тэр @@д @@ний гэр бүл , ойр дотон @@ы @@хон , хамт олон @@д халуун баяр хүргэе .
Өнөөдөр нийслэлийн эрүүл мэндийн салбарт тулгамдсан асуудлын нэг бол шүдний өвчлөл байгаа.	Өнөө @@дөр нийслэл @@ийн эрүүл мэнд @@ийн салах @@бар @@т тулах @@гах @@мдах @@сан асуух @@дал @@ын нэг бол шүд @@ний өвчин @@лөх @@л байх @@гаа .
Та МҮХАҮТ-ын удирдах зөвлөлийн гишүүнээр найман жил ажиллаж байна.	Та МҮХАҮТ-ын удирдах зөв @@лөх @@л @@ийн гишүүн @@ээр найм @@н жил ажил @@лах @@ж байх @@на .
Хэргийг миний удирдлагад ажиллаж байсан Жамьянсэнгээ мөрдөж богино хугацаанд илрүүлсэн.	Хэрэг @@ийг миний удирдах @@лага @@д ажил @@лах @@ж байх @@сан Жамьянсэн @@ээ мөрдөх @@ж богино хугацаа @@д ил @@рэх @@үүлэх @@сэн .
Отгонтэнгэр уул руу тэд өвөр талаас нь явсан байна лээ.	Отгонтэнгэр уул руу тэр @@д өвөр тал @@аас нь явах @@сан байх @@на лээ .
Түлшийг чийг болон салхинаас хол тусгай горимд хадгалдаг.	Түлэх @@ш @@ийг чийг болох @@н салхи @@аас хол тусгай горим @@д хадгалах @@даг .
Хүүхэд ямар нэг байдлаар өөрийгөө илэрхийллээ гэхэд эцэг эх нь шоолж, шоглож эсвэл загнаж тухайн хүүхдийн илэрхийлэмжийг үгүйсгэдэг.	Хүү @@хэд ямар нэг байх @@дал @@аар өөрөө @@ийг @@өө ил @@рэх @@ийл @@лээ гэх @@д эцэг эх нь шоолох @@ж ,  шог @@лох @@ж эс @@вэл загнах @@ж тухай @@н хүү @@хэд @@ийн ил @@рэх @@ийлэх @@мж @@ийг үгүй @@сгэх @@дэг .
Шинэ зуун гараад бүх л Засгийн газар санал тавьж байсан.	Шинэ зуу @@н гараад бүх л Засаг @@ийн газар санах @@л тавих @@ж байх @@сан .
Өөрийгөө хүндэтгэх сэтгэл нь алдагддаг.	Өөрөө @@ийг @@өө хүндэтгэх сэтгэл нь алдах@@гдах @@даг .
Азийн супер сүлжээ санаачилгын хүрээнд олон удаагийн уулзалт хийж буй.	Ази @@ийн супер сүлжээ санах @@аа @@чилах @@га @@ын хүрээ @@д олон удаа @@ийн уулзах @@лт хийх @@ж буй .
Юу үлдээв гэж ам асууя.	Юу үлдээх @@в гэх @@ж ам асууя .
Санхүүгийн зохицуулах хорооноос гаргасан 2019 оны I улирлын даатгалын салбарын тайлангаас ердийн даатгалын компаниудын үзүүлэлтэд бага зэргийн анализ хийлээ.	Сан @@хүү @@ийн зохих @@цох @@уулах хороо @@оос гарах @@гах @@сан 2019 он @@ы I улирал @@ын даах @@тгах @@л @@ын салах @@бар @@ын тайлан @@аас ердийн даах @@тгах @@л @@ын компани @@ууд @@ын үзэх @@үүлэх @@лт @@д бага зэргийн анализ хийх @@лээ .
Гэхдээ цэвэр эмчилгээний цай гэж ойлгож болохгүй.	Гэх @@дээ цэвэр эм @@ч @@лэх @@ээ @@ний цай гэх @@ж ой @@лгох @@ж болох @@гүй .
Тамирчин байх 13 жилийн хөдөлмөрийнхөө үр шимийг үзэж төрдөө, түмэндээ үнэлэгдэж яваадаа баяртай байна.	Тамир @@чин байх 13 жил @@ийн хөдлөх @@мөр @@ийн @@хөө үр шим @@ийг үзэх @@ж төр @@д @@өө , түмэн @@д @@ээ үнэлэх @@гдэх @@ж явах @@аа @@даа баяр @@тай байх @@на .
Анх би Эрдэнэтийн MUN-Д оролцож байсан.	Анх би Эрдэнэт @@ийн MUN-Д орох @@лцох @@ж байх @@сан .
Цаашид ажил хэрэг болгохын тулд бүгдийг нь бичиж аваад боловсруулж байгаа гэдгийг хэлмээр байна.	Цааш @@д ажил хэрэг болгох @@ын тул @@д бүгд @@ийг нь бичих @@ж авах @@аад боловсрох @@уулах @@ж байх @@гаа гэх @@дэг @@ийг хэлэх @@мээр байх @@на .
Шинэчлэгдсэн Эрүүгийн хууль 2017 оны 7 дугаар сарын 01-ний өдрөөс хүчин төгөлдөр мөрдөгдөж эхэлсэн.	Шинэ @@члэх @@гдэх @@сэн Эрүү @@ийн хууль 2017 он @@ы 7 дугаар сарын 01-ний өдөр @@өөс хүч @@н төгөлдөр мөрдөх @@гдөх @@ж эх @@лэх @@сэн .
Яг хэн гэдэг сайд ийм асуудалд холбогдсон юм бэ.	Яг хэн гэх @@дэг сайд ийм асуух @@дал @@д холбох @@гдох @@сон юм бэ .
Би гэдэг хүн Англи улсад очсон байв.	Би гэх @@дэг хүн Англи улс @@д очих @@сон байх @@в .
Хэлэлцээ явагдаж байна.	Хэл @@лцэх @@ээ явах @@гдах @@ж байх @@на .
Энэ хэрэг 2017 оны нэгдүгээр сарын 17-ны өдөр гарсан байдаг.	Энэ хэрэг 2017 оны нэгдүгээр сарын 17-ны өдөр гарсан байдаг.
Гэр хорооллын гудамжинд бохир, ялгадасны үнэр хамар сэтлэх шахна.	Гэр хороо @@лол @@ын гудам @@ж @@д бохир , ялгах @@дас @@ны үнэр хамар сэт @@лэх шахах @@на .
Шинэчлэгдсэн хууль нь өмнөх хуулиасаа нэлээн онцлогтой.	Шинэ @@члэх @@гдэх @@сэн хууль нь өмнө @@х хууль  @@аас @@аа нэлээн онцлог @@той.
Нээлтийн тоглолтод О.Дөлгөөн, Б.Шинэбаяр хоёр тоглохоор болсон.	Нээх @@лт @@ийн тоглох@@лт @@д О.Дөлгөөн , Б.Шинэбаяр хоёр тоглох @@оор болох @@сон .
Тухайн үед Тавантолгой-Гашуунсухайтын төмөр замын төсөлд 790 сая ам.доллар шаардлагатай гэх тооцоо гаргасан.	Тухай @@н үе @@д Тавантолгой-Гашуунсухайт @@ын төмөр зам @@ын төсөл @@д 790 сая ам.доллар шаардах @@лага @@тай гэх тоо @@цох @@оо гарах @@гах @@сан .
Харин ТУЗ-д зайлшгүй шаардлага тавих ёстой.	Харин ТУЗ-д зайлах @@ш @@гүй шаардах @@лага тавих ёс @@той .
Бид Нэст ахлах сургуулийн сургалтын менежер П.Лхагвасүрэнтэй сургалтынх нь хөтөлбөрийн талаар тодрууллаа.	Би @@д Нэст ахлах сурах @@гууль @@ийн сурах @@гах @@лт @@ын менежер П.Лхагвасүрэн @@тэй сурах @@гах@@лт @@ын @@х нь хөтөлбөр @@ийн тал @@аар тод @@рох @@уулах @@лаа .
Ингэж байж Монгол хүн Монголоороо үлдэж, ирээдүйн хүүхдүүддээ соёлын том өвийг үлдээж чадна.	Ингэх @@ж байх @@ж Монгол хүн Монгол @@оор @@оо үлдэх @@ж , ирээдүй @@н хүү @@хэд @@үүд @@д @@ээ соёл @@ын том өв @@ийг үлдээх @@ж чадах @@на .
Тус тэмцээний төгсгөлийн шат Америкийн Нэгдсэн Улсын Йелийн их сургууль дээр болно.	Тус тэмцэх @@ээн @@ий төгсөх @@гөх @@л @@ийн шат Америк @@ийн Нэг @@д @@сэн Улс @@ын Йел @@ийн их сурах @@гууль дээр болох @@но .
Өрнөдийн орнууд Зөвлөлт Холбоот Улс цөмийн зэвсэгтэй болоход олон жил шаардлагатай гэж тооцоолж байсан юм.	Өрнөд @@ийн орон @@ууд Зөвлөлт Холбоот Улс цөм @@ийн зэв @@сэг @@тэй болох @@д олон жил шаардах @@лага @@тай гэх @@ж тоо @@цох @@оол @@ж байх @@сан юм .
Хэнтий нутгаас ялалт байгуулбал төрд бугшсан идээч, уугаачдад маш том хатуу цохилт болно.	Хэнтий нутаг @@аас ялах @@лт байх @@гуулах @@бал төр @@д бугших @@сан идэх @@ээ @@ч , уугаах @@гч @@д @@д маш том хатуу цохих @@лт болох @@но .
БНХАУ, ОХУ-ын харилцааг олон улсын түвшинд авч үзвэл бид хаана явна вэ.	БНХАУ , ОХУ-ын харилцах @@аа @@г олон улс @@ын түвшин @@д авах @@ч үзэх @@вэл би @@д хаана явах @@на вэ .
Тухайн үед цагдаа нар жолооны үнэмлэхийг нь хурааж авах ямар нэг шалтаг гаргахыг хичээж байжээ.	Тухай @@н үе @@д цагдаа нар жолоо @@ны үнэмлэх @@ийг нь хураах @@ж авах ямар нэг шалтаг гаргах @@ыг хичээх @@ж байх @@жээ .
Ард түмнийхээ эрх ашгийг дээдэлдэг төр биш.	Ард түмэн @@ийх @@ээ эрх ашиг @@ийг дээд @@лэх @@дэг төр биш .
Хүүхдийн тоглоомын талбайн стандарт байдаг гэлээ.	Хүү @@хэд @@ийн тоглох @@оом @@ын талбай @@н стандарт байх @@даг гэх @@лээ .
Баавгай түүнийг алгадаж, самардсаны улмаас газар дээрээ амиа алджээ.	Баавгай түүнийг алгадах @@ж , самардах @@сан @@ы улмаас газар дээр @@ээ амь @@аа алдах @@жээ .
Бид энэхүү өдрийг Үндэсний эрх чөлөө, тусгаар тогтнолын өдөр болгон тэмдэглэн өнгөрүүлдэг уламжлалтай билээ.	Би @@д энэ @@хүү өдөр @@ийг Үндэс @@ний эрх чөлөө , тусгаар тогтох @@нол @@ын өдөр болгох @@н тэмдэглэх @@н өнгөрөх @@үүлэх @@дэг уламжлал @@тай билээ .
Манай ангид нэг хөөрхөн хүү байв.	Манай анги @@д нэг хөөрхөн хүү байх @@в .
Ингэхдээ дүүрэг тус бүр Туул голын эрэг дагуух газрыг хуваан авч эргүүл хийсэн.	Ингэх @@дээ дүүрэг тус бүр Туул гол @@ын эрэг дагуух газар @@ыг хуваах @@н авах @@ч эргэх @@үүл хийх @@сэн .
Тэгж байж бид илүү амжилттай явна.	Тэгэх @@ж байх @@ж би @@д илүү амжилт @@тай явах @@на .
Та нарын асуудал.	Та нарын асуух @@дал .
Хөрөнгийн тэгш бус байдал их байгааг хүн амын хэрэглээний болон хадгаламжийн бүтцээс харах боломжтой.	Хөрөнгө @@ийн тэгш бус байх @@дал их байх @@гаа @@г хүн ам @@ын хэрэг @@лээ @@ний болох @@н хадгалах @@мж @@ийн бүтэц @@ээс харах болох @@мж @@той .
Гэтэл энэ зам засварт орж, иргэд туслах замаар зорчихоос өөр аргагүй болоод таван сарыг үдээд байна.	Гэх @@тэл энэ зам засах @@вар @@т орох @@ж , иргэн @@д тус @@лах зам @@аар зорчих @@оос өөр арга @@гүй болох @@оо @@д тав @@н сар @@ыг үдэх @@ээд байх @@на .
Иргэд, аж ахуйн нэгжээс нэг шүүгчид удаа дараа гомдол ирүүлэх нь тухайн шүүгч ажил үүргээ гүйцэтгэж чадахгүй байгаатай холбоотой юу.	Иргэн @@д , аж ахуй @@н нэгж @@ээс нэг шүүх @@гч @@д удаа дараа гомдох @@л ирэх @@үүлэх нь тухай @@н шүүх @@гч ажил үүрэг @@ээ гүйцэх @@т @@гэх @@ж чадах @@гүй байх @@гаа @@тай холбоо @@той юу .
Ерөнхийдөө Үндсэн хуулийн маргаан эцэслэн шийдэх чадвар бүхий туршлага байгаа эсэх нь эргэлзээтэй.	Ерөнхий @@дөө Үндэс @@н хууль @@ийн маргах @@аан эцэслэх @@н шийд @@х чадах @@вар бүхий турших @@лага байх @@гаа эсэх нь эргэлзэх @@ээ @@тэй .
Нийгмийн аюулгүй байдлын эсрэг гэмт хэрэг 9.3 хувиар буурсан нь тус оны гэмт хэргийн эрсдэлийн индексийг буурахад голлон нөлөөлжээ.	Нийгэм @@ийн аюул @@гүй байх @@дал @@ын эсрэг гэм @@т хэрэг 9.3 хувь @@аар буурах @@сан нь тус он @@ы гэм @@т хэрэг @@ийн эрсдэл @@ийн индекс @@ийг буурах @@д гол @@лох @@н нөлөө @@лөх @@жээ .
Зарим жил бүтэн аймгийнхтай тэнцэх иргэд хөдөөнөөс ирж суурьшиж байлаа.	Зарим жил бүтэн аймаг @@ийн @@хан @@тай тэнцэх иргэн @@д хөдөө @@өөс ирэх @@ж суурь @@ших @@ж байх @@лаа .
Ингээд буцаад тухайн цэцэрлэг эцэг эх хоорондын зөрчил гарч эхэлдэг.	Ингэх @@ээд буцах @@аад тухай @@н цэцэрлэг эцэг эх хооронд @@ын зөрчил гарах @@ч эхлэх @@дэг .
Хойшоо харсан амуудыг зуслангийн зориулалтаа олгохоор төлөвлөсөн.	Хойно @@ш @@оо харах @@сан ам @@ууд @@ыг зуслан @@гийн зорих @@уулах @@лт @@аа олгох @@оор төлөв @@лөх @@сөн .
Хамгийн гол нь энэ бүх хөрөнгийг шилжүүлсэн үйл явц нь хуулийн байгууллагынхны анхаарлыг татдаг юм билээ.	Хамгийн гол нь энэ бүх хөрөнгө @@ийг шилжих @@үүлэх @@сэн үйл явц нь хууль @@ийн байх @@гуулах @@лага @@ын @@хан @@ы анхаарах @@л @@ыг татах @@даг юм билээ .
Тиймээс У.Хүрэлсүх шахаагаар тохироогоор Засгийн газраа бүрдүүллээ гэвэл улс төрийн карьертаа цэг тавилаа л гэсэн үг.	Тийм @@ээс У.Хүрэлсүх шахах @@аа @@аар тохирох @@оо @@оор Засаг @@ийн газар @@аа бүрдэх @@үүлэх @@лээ гэх @@вэл улс төр @@ийн карьер @@т @@аа цэг тавих @@лаа л гэх @@сэн үг .
Тэгвэл үүнээс 24 цагийн дараа тэр уулзалт төлөвлөсөн хугацаандаа болж магадгүй байгааг дахин зарласан юм.	Тэгэх @@вэл үүнээс 24 цаг @@ийн дараа тэр уулзах @@лт төлөв @@лөх @@сөн хугацаа @@д @@аа болох @@ж магад @@гүй байх @@гаа @@г дахих @@н зарлах @@сан юм .
Мөн хамт амьдрах санал тавьсан хэд хэдэн уугуул иргэдийн гэр бүлийг хүлээн авч, газраа үзүүлэх аялалд бэлдэж байгаа ажээ.	Мөн хамт амь @@д @@рах санах @@л тавих @@сан хэд хэд @@н уугуул иргэн @@д @@ийн гэр бүл @@ийг хүлээх @@н авах @@ч , газар @@аа үзэх @@үүлэх аялах @@л @@д бэлдэх @@ж байх @@гаа аж @@ээ .
