Třikrát rychlejší než slovo	Tř @@i @@krát rychl @@ejš @@í než slov @@o
Chválit by se měla jenom dobrá práce .	Chvál @@i @@t by s @@e m @@ě @@l @@a jenom dobr @@á prác @@e .
Myslím si , že chválení není všechno .	Mysl @@í @@m s @@i , že chvál @@en @@í není vš @@ech @@n @@o .
Na zdejším oddělení jsem začínal vytvářet současný tým lékařů a sester .	Na zde @@jš @@ím od @@děl @@en @@í js @@em za @@čín @@a @@l vy @@tvář @@e @@t sou @@čas @@n @@ý tým lék @@ař @@ů a sester .
Kladu důraz na osobní příklad _ a při hodnocení druhých na výsledky práce .	Klad @@u dů @@raz na osob @@n @@í pří @@klad _ a při hod @@n @@oc @@en @@í druh @@ých na vý @@sled @@k @@y prác @@e .
Moji kolegové a střední zdravotní personál na našem oddělení pochváleni jsou _ , více však od pacientů , než ode mne .	Moj @@i koleg @@ové a střed @@n @@í zdrav @@ot @@n @@í person @@ál na n @@a @@š @@e @@m od @@děl @@en @@í po @@chvál @@en @@i js @@ou _ , více však od pacient @@ů , než ode mn @@e .
Tomu dávám přednost .	T @@o @@mu d @@á @@v @@á @@m před @@n @@ost .
Pro spolupracovníky to znamená více , než pochvala ode mne .	Pro spolu @@prac @@ov @@ník @@y t @@o znam @@en @@á více , než po @@chval @@a ode mn @@e .
* Kdy jste si plně uvědomil , co vlastně obnáší být manažerem odborného týmu ?	* Kdy js @@te s @@i pln @@ě u @@věd @@om @@i @@l , c @@o vlast @@n @@ě ob @@náš @@í bý @@t manaž @@er @@em od @@bor @@n @@ého tým @@u ?
Chování personálu , všech na oddělení , k pacientům pokládám čím dál víc za jeden z klíčů pro úspěšné řízení .	Chov @@á @@n @@í person @@ál @@u , vš @@e @@ch na od @@děl @@en @@í , k pacient @@ům po @@klád @@á @@m č @@í @@m dál víc za jeden z klíč @@ů pro ú @@spěš @@n @@é říz @@en @@í .
Všichni u nás v oddělení vytváříme pozitivní klima pro pacienta .	Vš @@ich @@ni u n @@á @@s v od @@děl @@en @@í vy @@tvář @@í @@me pozit @@iv @@n @@í klim @@a pro pacient @@a .
Vytváříme tím svůj image důvěry .	Vy @@tvář @@í @@me t @@ím sv @@ůj image dů @@věr @@y .
Přes naši snahu a mé osobní úsilí nejsem někdy dokonale spokojen .	Přes n @@a @@š @@i snah @@u a m @@é osob @@n @@í ú @@sil @@í ne @@js @@em ně @@kd @@y do @@kon @@a @@l @@e s @@po @@koj @@en .
Jako každý člověk , podléháme i my občasným náladám .	Jako každ @@ý člověk , pod @@léh @@á @@me i m @@y ob @@čas @@n @@ým ná @@lad @@ám .
To ale nesmí být patrné na přístupu k pacientům .	T @@o ale ne @@sm @@í bý @@t patr @@n @@é na pří @@stup @@u k pacient @@ům .
* Narazil jste na profesionální chování , co tím rozumíte ?	* Na @@raz @@i @@l js @@te na pro @@fes @@ion @@ál @@n @@í chov @@á @@n @@í , c @@o t @@ím roz @@um @@í @@te ?
Přístup by měl být laskavý , pacient musí vědět , co se s ním děje a co bude následovat .	Pří @@stup by m @@ě @@l bý @@t lask @@av @@ý , pacient mus @@í věd @@ě @@t , c @@o s @@e s n @@í @@m děj @@e a c @@o bud @@e ná @@sled @@ova @@t .
Když pacient čeká , požaduji od sester , aby mu sdělili , proč vlastně v tuto chvíli nemůže být ošetřen .	Když pacient ček @@á , po @@žad @@uj @@i od sester , aby mu s @@děl @@i @@l @@i , proč vlast @@n @@ě v t @@u @@t @@o chvíl @@i ne @@můž @@e bý @@t o @@šetř @@en .
Jde o to , aby venku neseděli pacienti a uvnitř ordinace neseděl personál .	Jd @@e o t @@o , aby ven @@k @@u ne @@sed @@ě @@l @@i pacient @@i a u @@v @@nitř ordin @@ac @@e ne @@sed @@ě @@l person @@ál .
To se u nás neděje .	T @@o s @@e u n @@á @@s ne @@dě @@j @@e .
* Do jaké míry se vaše nároky na profesionální chování celého týmu prolínají s ekonomikou vašeho oddělení ?	* Do jak @@é mír @@y s @@e v @@a @@š @@e ná @@rok @@y na pro @@fes @@ion @@ál @@n @@í chov @@á @@n @@í cel @@é @@ho tým @@u pro @@lín @@aj @@í s eko @@nom @@ik @@ou v @@a @@š @@e @@ho od @@děl @@en @@í ?
Doba , jak se to udělá jednoduše , se teprve blíží .	Dob @@a , jak s @@e t @@o u @@děl @@á jedn @@o @@duš @@e , s @@e teprv @@e blíž @@í .
Člověk chodí do práce , aby měl peníze , za které pak může žít .	Člověk chod @@í do prác @@e , aby m @@ě @@l peníz @@e , za kter @@é pak můž @@e ží @@t .
Ve zdravotnictví se to tak jednoznačně říci nedá a je to různé .	Ve zdrav @@ot @@nic @@tv @@í s @@e t @@o tak jedn @@o @@znač @@n @@ě říc @@i ne @@d @@á a je t @@o různ @@é .
Peníze zatím nevyjadřují objem práce , který odvádíme .	Peníz @@e za @@t @@ím ne @@vy @@jadř @@uj @@í ob @@jem prác @@e , kter @@ý od @@vád @@í @@me .
Při současném trendu , kdy začíná určitá " žádost " po pacientech .	Při sou @@čas @@n @@ém trend @@u , kdy za @@č @@í @@n @@á urč @@it @@á " žád @@ost " po pacient @@ech .
Množství pacientů vytváří ekonomické výsledky .	Množství pacient @@ů vy @@tvář @@í eko @@nom @@ick @@é vý @@sled @@k @@y .
U nás je vnitřní ekonomické řízení zavedeno již více jak dva roky .	U n @@á @@s je v @@nitř @@n @@í eko @@nom @@ick @@é říz @@en @@í za @@ved @@en @@o již více jak dv @@a rok @@y .
Přesně známe své náklady a výnosy .	Přesn @@ě zn @@á @@me s @@v @@é ná @@klad @@y a vý @@nos @@y .
je nám všem naprosto jasné , že chceme - li dosahovat zisku , musíme mít určitý počet pacientů , a to ještě navíc v určité " cílové " skupině .	je n @@á @@m vš @@e @@m na @@prost @@o jas @@n @@é , že chc @@e @@me - li do @@sah @@ova @@t zisk @@u , mus @@í @@me m @@í @@t u @@rč @@i @@t @@ý po @@čet pacient @@ů , a t @@o ještě na @@víc v urč @@it @@é " cíl @@ov @@é " skup @@in @@ě .
Z tohoto základního požadavku , kterým je potřebný počet pacientů , vyplývají požadavky na naši odbornost a profesionalitu .	Z t @@o @@ho @@t @@o zá @@klad @@n @@ího po @@žad @@a @@v @@k @@u , kter @@ý @@m je po @@třeb @@n @@ý po @@čet pacient @@ů , vy @@plý @@v @@aj @@í po @@žad @@a @@v @@k @@y na n @@a @@š @@i od @@bor @@n @@ost a pro @@fes @@ional @@it @@u .
* Co to znamená v praxi ?	* C @@o t @@o znam @@en @@á v prax @@i ?
Prosazujeme , aby vyšetření a práce všech lékařů na oddělení měla stejnou úroveň a kvalitu .	Pro @@saz @@uje @@me , aby vy @@šetř @@en @@í a prác @@e vš @@e @@ch lék @@ař @@ů na od @@děl @@en @@í m @@ě @@l @@a stej @@n @@ou ú @@rov @@eň a kval @@it @@u .
A to vyžadujeme od všech spolupracovníků i v oblasti chování .	A t @@o vy @@žad @@uje @@me od vš @@e @@ch spolu @@prac @@ov @@ník @@ů i v ob @@last @@i chov @@á @@n @@í .
Naše schopnost integrovat do týmu i nově příchozí , schopnost všech profesionálně si počínat , vyplývá do jisté míry i z toho , že pracujeme jako tým , celé oddělení a nikoli jako jednotlivý lékař , který takové možnosti nemá .	N @@a @@š @@e s @@chop @@n @@ost integr @@ova @@t do tým @@u i nov @@ě pří @@choz @@í , s @@chop @@n @@ost vš @@e @@ch pro @@fes @@ionál @@n @@ě s @@i po @@č @@ín @@a @@t , vy @@plý @@v @@á do jist @@é mír @@y i z t @@o @@ho , že prac @@uje @@me jako tým , cel @@é od @@děl @@en @@í a ni @@koli jako jedn @@ot @@liv @@ý lék @@ař , kter @@ý tak @@ov @@é mož @@n @@ost @@i ne @@m @@á .
U nás jeden bez druhého nemůže nic dokázat .	U n @@á @@s jeden bez druh @@é @@ho ne @@můž @@e nic do @@káz @@a @@t .
Na prvním místě je proto profesionální zdatnost a znalosti všech - lékařů , sester i administrativní podpory .	Na prv @@n @@í @@m míst @@ě je pro @@t @@o pro @@fes @@ion @@ál @@n @@í zdatn @@ost a zn @@a @@l @@ost @@i vš @@e @@ch - lék @@ař @@ů , sester i ad @@ministr @@at @@iv @@n @@í pod @@por @@y .
Máme zájem naším vybavením pomáhat i ostatním kolegům lékařům , kteří pracují v terénu nebo samostatně .	M @@á @@me zá @@jem n @@a @@š @@í @@m vy @@bav @@en @@ím po @@máh @@a @@t i o @@stat @@n @@í @@m koleg @@ům lék @@ař @@ům , kteř @@í prac @@u @@j @@í v terén @@u nebo sam @@o @@stat @@n @@ě .
Poskytovat jim servis a možnost operovat svého pacienta u nás nebo mohou být u složitějších zákroků operaci přítomní .	Po @@skyt @@ova @@t j @@i @@m servis a mož @@n @@ost oper @@ova @@t s @@v @@é @@ho pacient @@a u n @@á @@s nebo moh @@ou bý @@t u s @@lož @@it @@ějš @@ích zá @@krok @@ů oper @@ac @@i pří @@t @@om @@n @@í .
Tím zlepšujeme postavení lékařů , kteří naše možnosti nemají .	T @@ím z @@lep @@š @@uje @@me po @@stav @@en @@í lék @@ař @@ů , kteř @@í n @@a @@š @@e mož @@n @@ost @@i ne @@m @@aj @@í .
Vytváří se tím samozřejmě i dobré jméno našeho oddělení .	Vy @@tvář @@í s @@e t @@ím sam @@o @@zř @@ejm @@ě i dobr @@é jmén @@o n @@a @@š @@e @@ho od @@děl @@en @@í .
Jarmila Fryntová , Jaroslav Seifert	Jarmil @@a Frynt @@ov @@á , Jaroslav Seifert
Text k foto :	Text k fot @@o :
MANAŽER V NEMOCNICI :	MANAŽ @@ER V NE @@MOC @@N @@IC @@I :
I zde musí řídit tým , který svojí prací i vystupováním rozhoduje svým dílem o odborné úrovni i hospodářské prosperitě zdravotního zařízení .	I zd @@e mus @@í říd @@i @@t tým , kter @@ý svoj @@í prac @@í i vy @@stup @@ová @@n @@ím roz @@hod @@uje s @@v @@ý @@m díl @@e @@m o od @@bor @@n @@é ú @@rov @@n @@i i hospod @@ář @@sk @@é pro @@sper @@it @@ě zdrav @@ot @@n @@ího za @@říz @@en @@í .
Rekondice pro manažery	Re @@kondic @@e pro manaž @@er @@y
Netradiční součást výuky na Ekonomické fakultě v Chebu	Ne @@trad @@ič @@n @@í sou @@část vý @@uk @@y na Eko @@nom @@ick @@é fakult @@ě v Cheb @@u
Řídící pracovníci a podnikatelé pracují pod velikým psychickým tlakem _ a často s časovým nasazením , které sahá k hranici lidských možností .	Říd @@íc @@í prac @@ov @@níc @@i a pod @@nik @@a @@tel @@é prac @@u @@j @@í pod vel @@ik @@ý @@m psych @@ick @@ým tlak @@em _ a čast @@o s čas @@ov @@ým na @@saz @@en @@ím , kter @@é sah @@á k hran @@ic @@i lid @@sk @@ý @@ch mož @@n @@ost @@í .
Je nanejvýš nutné , aby si uvědomili , že s podobným nasazením bez lepší organizace práce , odpočinku a péče o zdraví nikdo nevydrží věčně .	Je na @@nej @@výš nut @@n @@é , aby s @@i u @@věd @@om @@i @@l @@i , že s po @@dob @@n @@ým na @@saz @@en @@ím bez lep @@š @@í organ @@iz @@ac @@e prác @@e , od @@poči @@n @@k @@u a péč @@e o zdrav @@í ni @@kd @@o ne @@vy @@drž @@í věč @@n @@ě .
Spolu s psychickým zhroucením a dalšími zdravotními potížemi může přijít i rozpad rodiny , stejně jako vlastní firmy .	Spolu s psych @@ick @@ým z @@hrouc @@en @@ím a dal @@š @@ími zdrav @@ot @@n @@ími po @@tíž @@emi můž @@e při @@jí @@t i roz @@pad rod @@in @@y , stejn @@ě jako vlast @@n @@í firm @@y .
Jaké nemoci nejvíce postihují manažery , ukazuje výzkum Institutu pro pracovní a sociální hygienu v Karlsruhe .	Jak @@é ne @@moc @@i nej @@více po @@stih @@uj @@í manaž @@er @@y , u @@kaz @@uje vý @@zkum In @@stitu @@t @@u pro prac @@ov @@n @@í a soci @@ál @@n @@í hygien @@u v Karls @@ruhe .
Lékařskými prohlídkami prošlo 3500 řídících pracovníků německého hospodářství .	Lék @@ař @@sk @@ými pro @@hlíd @@k @@ami pro @@š @@l @@o 3500 říd @@íc @@ích prac @@ov @@ník @@ů něm @@ec @@k @@é @@ho hospod @@ář @@ství .
Vegetativními potížemi , především srdce , trávícího ústrojí a krevního oběhu , trpí 85 % _ , poruchami tukové a látkové výměny 75 % , nemocemi páteře a pohybového ústrojí 73 % a nadváhou 38 % manažerů .	Veget @@at @@iv @@n @@ími po @@tíž @@emi , přede @@vš @@í @@m srdc @@e , tráv @@íc @@ího ú @@stroj @@í a krev @@n @@ího o @@běh @@u , trp @@í 85 % _ , po @@ruch @@ami tuk @@ov @@é a lát @@k @@ov @@é vý @@měn @@y 75 % , ne @@moc @@emi páteř @@e a po @@hyb @@ov @@ého ú @@stroj @@í 73 % a nad @@váh @@ou 38 % manaž @@er @@ů .
U 25 % byly zjištěny škody způsobené kouřením a 15 % mělo vysoký krevní tlak .	U 25 % by @@l @@y z @@jišt @@ěn @@y škod @@y z @@pů @@sob @@en @@é kouř @@en @@ím a 15 % m @@ě @@l @@o vys @@ok @@ý krev @@n @@í tlak .
Na selhání srdce umírá celá polovina .	Na se @@lh @@á @@n @@í srdc @@e u @@mír @@á cel @@á pol @@ovin @@a .
Většina těchto nemocí je psychicky podmíněna .	Vět @@š @@in @@a t @@ě @@ch @@t @@o ne @@moc @@í je psych @@ick @@y pod @@mín @@ěn @@a .
V této souvislosti se mluví o problémech , jako je permanentní osamění řídícího pracovníka , vražedný tlak , pod kterým pracuje střední management , či manažerský syndrom postihující vedoucí pracovníky , podnikatele , ale také učitele , lékaře a jiné profese .	V t @@é @@to sou @@vis @@l @@ost @@i s @@e mluv @@í o problém @@ech , jako je per @@man @@ent @@n @@í o @@sam @@ě @@n @@í říd @@íc @@ího prac @@ov @@ník @@a , vražed @@n @@ý tlak , pod kter @@ý @@m prac @@uje střed @@n @@í manage @@ment , či manaž @@er @@sk @@ý syndrom po @@stih @@uj @@íc @@í ved @@oucí prac @@ov @@ník @@y , pod @@nik @@a @@tel @@e , ale také uč @@i @@tel @@e , lék @@ař @@e a jin @@é pro @@fes @@e .
Tito lidé si často v tomto okamžiku nepřipouštějí , že jejich fyzické obtíže jsou duševního charakteru a nepřipouštějí adekvátní terapii .	T @@i @@to lid @@é s @@i čast @@o v t @@o @@m @@to ok @@a @@mžik @@u ne @@při @@poušt @@ěj @@í , že je @@j @@i @@ch fyzi @@c @@k @@é ob @@tíž @@e js @@ou duš @@ev @@n @@í @@ho charakter @@u a ne @@při @@poušt @@ěj @@í ad @@ekvát @@n @@í terap @@i @@i .
Nejhorším únikem je pak alkohol nebo prášky .	Nej @@hor @@š @@ím ú @@nik @@em je pak alkohol nebo práš @@k @@y .
Péče se vyplatí	Péč @@e s @@e vy @@plat @@í
V prevenci musí podnikatelé a manažeři především upravit svůj životní styl , lépe organizovat práci a odpočinek a nechat dostatečný prostor pro záliby apod .	V pre @@venc @@i mus @@í pod @@nik @@a @@tel @@é a manaž @@eř @@i přede @@vš @@í @@m u @@prav @@i @@t sv @@ůj ži @@v @@ot @@n @@í styl , lép @@e organ @@iz @@ova @@t prác @@i a od @@poči @@n @@ek a nech @@a @@t do @@stat @@eč @@n @@ý pro @@stor pro zá @@lib @@y a @@pod .
Pozornost musí věnovat svému životnímu prostředí , vyvážit stravu , přijímat dostatek vitamínů a minerálů .	Po @@zor @@n @@ost mus @@í věn @@ova @@t s @@v @@é @@mu ži @@v @@ot @@n @@ímu pro @@střed @@í , vy @@váž @@i @@t s @@trav @@u , při @@jím @@a @@t do @@sta @@t @@ek vitamín @@ů a minerál @@ů .
Zvláštní pozornost je třeba věnovat pohybu a protistresovým technikám .	Zvlášt @@n @@í po @@zor @@n @@ost je třeb @@a věn @@ova @@t po @@hyb @@u a proti @@stres @@ov @@ým techn @@ik @@ám .
Péče o řídící pracovníky je sice nákladná , ale , jak ukazují výsledky z USA i Německa , nezbytná a hlavně se vyplatí .	Péč @@e o říd @@íc @@í prac @@ov @@ník @@y je sice ná @@klad @@n @@á , ale , jak u @@kaz @@u @@j @@í vý @@sled @@k @@y z U @@S @@A i Něm @@ec @@k @@a , ne @@z @@by @@t @@n @@á a hlav @@n @@ě s @@e vy @@plat @@í .
Výzkumy v USA dokázaly , že firmě se vyplatí pečovat o zdraví svých zaměstnanců preventivními prohlídkami , relaxačními pobyty i organizováním fitness programů pro zaměstnance i jeho rodinu .	Vý @@zkum @@y v U @@S @@A do @@káz @@a @@l @@y , že firm @@ě s @@e vy @@plat @@í peč @@ova @@t o zdrav @@í s @@v @@ý @@ch za @@měst @@n @@a @@n @@c @@ů pre @@vent @@iv @@n @@ími pro @@hlíd @@k @@ami , relax @@ač @@n @@ími po @@by @@t @@y i organ @@iz @@ová @@n @@ím fit @@ness program @@ů pro za @@měst @@n @@an @@c @@e i je @@ho rod @@in @@u .
Dobrý manažer je zdravý manažer .	Dobr @@ý manaž @@er je zdrav @@ý manaž @@er .
Díky americkému systému pojištění ušetří v USA firmy snížením pracovní neschopnosti na nemocenském .	Dík @@y americ @@k @@ému systém @@u po @@jišt @@ěn @@í u @@šetř @@í v U @@S @@A firm @@y s @@níž @@en @@ím prac @@ov @@n @@í ne @@s @@chop @@n @@ost @@i na ne @@moc @@en @@sk @@ém .
A hlavně je dokázáno , že aktivní fit - manažer je i produktivnější .	A hlav @@n @@ě je do @@káz @@á @@n @@o , že akt @@iv @@n @@í fit - manaž @@er je i pro @@dukt @@iv @@n @@ějš @@í .
Udělat si čas	U @@děl @@a @@t s @@i čas
Výsledky výzkumů a uvedená fakta nás přivedly k názoru , že je nutné již v přípravě budoucích manažerů na vysoké škole věnovat pozornost organizaci jejich práce , seznámit je s poznatky o životním stylu , zdravé výživě , pohybovém režimu , zdraví , a naučit je sestavit si kondiční plán a zvládnout základní protistresové techniky .	Vý @@sled @@k @@y vý @@zkum @@ů a u @@ved @@en @@á fakt @@a n @@á @@s při @@ved @@l @@y k ná @@zor @@u , že je nut @@n @@é již v pří @@prav @@ě bud @@ouc @@ích manaž @@er @@ů na vys @@ok @@é škol @@e věn @@ova @@t po @@zor @@n @@ost organ @@iz @@ac @@i je @@j @@i @@ch prác @@e , se @@znám @@i @@t je s po @@zn @@a @@t @@k @@y o ži @@v @@ot @@n @@í @@m styl @@u , zdrav @@é vý @@ži @@v @@ě , po @@hyb @@ov @@ém režim @@u , zdrav @@í , a na @@uč @@i @@t je se @@stav @@i @@t s @@i kondič @@n @@í plán a z @@vlád @@nou @@t zá @@klad @@n @@í proti @@stres @@ov @@é techn @@ik @@y .
Proto je do bakalářského studia na Ekonomické fakultě v Chebu , v oboru ekonomika terciární sféry , zařazen doporučený výběrový předmět rekondice pro manažery .	Pro @@t @@o je do bakalář @@sk @@ého stud @@i @@a na Eko @@nom @@ick @@é fakult @@ě v Cheb @@u , v ob @@or @@u eko @@nom @@ik @@a terciární sfér @@y , za @@řaz @@en do @@po @@ruč @@en @@ý vý @@běr @@ov @@ý před @@mět re @@kondic @@e pro manaž @@er @@y .
Jsou rozděleny do tří navazujících částí .	Js @@ou roz @@děl @@en @@y do tř @@í na @@vaz @@uj @@íc @@ích část @@í .
V první převládají diagnostika a průpravná cvičení .	V prv @@n @@í pře @@vlád @@aj @@í dia @@gnost @@ik @@a a prů @@prav @@n @@á cvič @@en @@í .
V druhé studenti zvládnou základní stupeň autogenního tréninku , dechová cvičení , seznámí se s jógou a celou řadou drobných technik .	V druh @@é stud @@ent @@i z @@vlád @@n @@ou zá @@klad @@n @@í stup @@eň auto @@gen @@n @@ího trén @@ink @@u , dech @@ov @@á cvič @@en @@í , se @@znám @@í s @@e s jóg @@ou a cel @@ou řad @@ou drob @@n @@ých techn @@ik .
Třetí část prohlubuje a upevňuje naučené .	Tř @@et @@í část pro @@hlub @@uje a u @@pevň @@uje na @@uč @@en @@é .
Mimo jiné se studenti seznámí se Silvovou metodou , čínským cvičením čchi - kung , akupresurou , automasáží a dalšími drobnými technikami použitelnými při upevnění zdraví a v boji proti stresu .	Mimo jin @@é s @@e stud @@ent @@i se @@znám @@í s @@e Silv @@ov @@ou metod @@ou , čín @@sk @@ým cvič @@en @@ím čchi - kung , aku @@pres @@ur @@ou , auto @@mas @@áž @@í a dal @@š @@ími drob @@n @@ými techn @@ik @@ami po @@u @@ži @@teln @@ými při u @@pevn @@ěn @@í zdrav @@í a v boj @@i proti stres @@u .
Testováno je též srdce a oběhový systém a studenti jsou seznámeni se základními zásadami jejich tréninku .	Test @@ová @@n @@o je též srdc @@e a o @@běh @@ov @@ý systém a stud @@ent @@i js @@ou se @@znám @@en @@i s @@e zá @@klad @@n @@ími zá @@sad @@ami je @@j @@i @@ch trén @@ink @@u .
V celém kurzu je využívána relaxační hudba a v závěru dojde i na meditační techniku .	V cel @@é @@m kurz @@u je vy @@u @@ží @@v @@á @@n @@a relax @@ač @@n @@í hud @@b @@a a v zá @@věr @@u do @@jd @@e i na medit @@ač @@n @@í techn @@ik @@u .
Podnikatelé a manažeři se musí zamyslet nad svým pracovním zatížením a svým zdravím .	Pod @@nik @@a @@tel @@é a manaž @@eř @@i s @@e mus @@í za @@mysl @@e @@t nad s @@v @@ý @@m prac @@ov @@n @@í @@m za @@tíž @@en @@ím a s @@v @@ý @@m zdrav @@ím .
Pokud chtějí začít sami , lze doporučit publikaci Sám sobě psychologem .	Po @@k @@ud cht @@ěj @@í za @@č @@í @@t sam @@i , lze do @@po @@ruč @@i @@t publik @@ac @@i Sám s @@ob @@ě psych @@o @@log @@em .
Ještě lepší je však navštívit odborně vedený relaxační kurz a na základě získaných poznatků využívat naučené techniky .	Ještě lep @@š @@í je však navštív @@i @@t od @@bor @@n @@ě ved @@en @@ý relax @@ač @@n @@í kurz a na zá @@klad @@ě získ @@a @@n @@ých po @@zn @@a @@tk @@ů vy @@u @@ží @@v @@a @@t na @@uč @@en @@é techn @@ik @@y .
Žádoucí je zorganizovat si týdenní plán tak , aby se do něj vešel i kondiční program s aktivní formou a relaxačními technikami .	Žád @@ou @@c @@í je z @@organ @@iz @@ova @@t s @@i týden @@n @@í plán tak , aby s @@e do n @@ě @@j ve @@še @@l i kondič @@n @@í pro @@gram s akt @@iv @@n @@í form @@ou a relax @@ač @@n @@ími techn @@ik @@ami .
Ludvík Eger	Ludvík Eger
| Kontakt : Ekonomická fakulta v Chebu , Hradební 22 , 350 01 Cheb . |	| Kon @@takt : Eko @@nom @@ic @@k @@á fakult @@a v Cheb @@u , Hrad @@eb @@n @@í 22 , 350 01 Cheb . |
Text k foto :	Text k fot @@o :
PODNIKATELSKÝ KOLOTOČ :	POD @@NIK @@A @@TEL @@SK @@Ý KOL @@O @@TOČ :
Obrovské psychické zatížení a stres mohou manažera přivést mimo hru .	Obr @@ovsk @@é psych @@ic @@k @@é za @@tíž @@en @@í a stres moh @@ou manaž @@er @@a při @@vés @@t mimo hr @@u .
Prevencí se lze takovým následkům bránit .	Pre @@venc @@í s @@e lze tak @@ov @@ý @@m ná @@sled @@k @@ům brán @@i @@t .
Kaktus	Kaktus
Společnosti FOGASO Praha za klamání zákazníků .	S @@pol @@eč @@n @@ost @@i FOGAS @@O Prah @@a za klam @@á @@n @@í zá @@kaz @@ník @@ů .
V své samoobsluze ve Zličíně prodává kilogram chleba za 9.80 Kč _ a 1.5 kg chleba za 14 Kč .	V s @@v @@é sam @@o @@ob @@sluz @@e ve Zličín @@ě pro @@d @@á @@v @@á kilo @@gram chleb @@a za 9.80 K @@č _ a 1.5 k @@g chleb @@a za 14 K @@č .
Ani v jednom případě však skutečná váha bochníku neodpovídá deklarovanému údaji .	Ani v jedn @@o @@m pří @@pad @@ě však s @@kut @@eč @@n @@á váh @@a bochník @@u ne @@od @@po @@víd @@á de @@klar @@ova @@n @@ému ú @@daj @@i .
Dotazem u dodavatele ( Pražské pekárny , pekárna Jihozápadní město ) jsme zjistili , že v ceníku je udávána gramáž konzumního chleba 920 , respektive 1380 gramů s povolenou tolerancí plus minus pět procent .	Do @@taz @@em u do @@d @@a @@v @@a @@tel @@e ( Praž @@sk @@é pek @@ár @@n @@y , pek @@ár @@n @@a Jih @@o @@zá @@pad @@n @@í měst @@o ) js @@me z @@jist @@i @@l @@i , že v cen @@ík @@u je u @@d @@á @@v @@á @@n @@a gram @@áž konzum @@n @@ího chleb @@a 920 , respektive 1380 gram @@ů s po @@vol @@en @@ou toler @@anc @@í plus minus pě @@t procent .
To by obchodníci vědět měli .	T @@o by ob @@chod @@níc @@i věd @@ě @@t mě @@l @@i .
Uvádění nesprávných údajů o prodávaném zboží totiž poškozuje u zákazníků jejich důvěryhodnost .	U @@vád @@ě @@n @@í ne @@s @@práv @@n @@ých ú @@daj @@ů o pro @@d @@á @@v @@a @@n @@ém zbož @@í totiž po @@škoz @@uje u zá @@kaz @@ník @@ů je @@j @@i @@ch dů @@věr @@y @@hod @@n @@ost .
Veletržní Mnichov 1994	Vele @@trž @@n @@í Mnichov 1994
INHORGENTA München - 21 . mezinárodní odborný veletrh hodin , bižuterie , drahých kamenů , perel , stříbrného zboží a zařízení pro jejich zhotovení : 4 . - 7 . 2 .	INHORGENT @@A München - 21 . mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh hod @@in , bižuteri @@e , drah @@ý @@ch kamen @@ů , perel , stříbr @@n @@ého zbož @@í a za @@říz @@en @@í pro je @@j @@i @@ch z @@hotov @@en @@í : 4 . - 7 . 2 .
C - B - R München - 25 . výstava karavanů , lodí a mezinárodního cestovního ruchu : 5 . - 13 . 2 .	C - B - R München - 25 . vý @@stav @@a karavan @@ů , lod @@í a mezi @@ná @@rod @@n @@ího cest @@ov @@n @@ího ruch @@u : 5 . - 13 . 2 .
MODE - WOCHE - München ( jaro ) - Mezinárodní odborný veletrh módy : 20 . - 22 . 2 .	MODE - WOCHE - München ( jar @@o ) - Mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh mód @@y : 20 . - 22 . 2 .
ISPO - Frühjahr - 40 . mezinárodní odborný veletrh sportovních potřeb a módy : 24 . - 27 . 2 .	ISPO - Früh @@jahr - 40 . mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh sport @@ov @@n @@ích po @@třeb a mód @@y : 24 . - 27 . 2 .
IHM - 46 . mezinárodní veletrh pro řemeslníky : 12 . - 20 . 3 .	I @@H @@M - 46 . mezi @@ná @@rod @@n @@í vele @@trh pro řemesl @@ník @@y : 12 . - 20 . 3 .
111 . kongres německé chirurgické společnosti spojený s odbornou výstavou : 6 . - 9 . 4 .	111 . kon @@gres něm @@ec @@k @@é chirurg @@i @@ck @@é s @@pol @@eč @@n @@ost @@i s @@poj @@en @@ý s od @@bor @@n @@ou vý @@stav @@ou : 6 . - 9 . 4 .
ANALYTICA - 14 . mezinárodní odborný veletrh pro biochemickou a instrumentální analytiku s mezinárodním jednáním : 19 . - 22 . 4 .	ANA @@LYT @@IC @@A - 14 . mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh pro bio @@chem @@ick @@ou a instru @@ment @@ál @@n @@í ana @@lyt @@ik @@u s mezi @@ná @@rod @@n @@ím jedn @@á @@n @@í @@m : 19 . - 22 . 4 .
TRANSPORT - 5 . mezinárodní odborný veletrh pro nákladní dopravu , osobní přepravu a logistiku : 7 . - 11 . 6 .	TRANSPORT - 5 . mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh pro ná @@klad @@n @@í do @@prav @@u , osob @@n @@í pře @@prav @@u a log @@ist @@ik @@u : 7 . - 11 . 6 .
ELTEC - Odborná výstava elektroniky : 23 . - 25 . 6 .	ELTEC - Od @@bor @@n @@á vý @@stav @@a elektr @@on @@ik @@y : 23 . - 25 . 6 .
