abbé	abb @@é
vysušovat	vy @@suš @@ova @@t
vysvitnout	vy @@svit @@nou @@t
vysvléci	vy @@s @@vléc @@i
vysvlékat	vy @@s @@vlék @@a @@t
vysvléknout	vy @@s @@vlék @@nou @@t
vysvlíkat	vy @@s @@vlík @@a @@t
vysvlíknout	vy @@s @@vlík @@nou @@t
vysvobodit	vy @@svobod @@i @@t
vysvobozovat	vy @@svoboz @@ova @@t
vysvítit	vy @@svít @@i @@t
vysvěcovat	vy @@svěc @@ova @@t
vysvědčení	vy @@s @@věd @@č @@en @@í
vysvětit	vy @@svět @@i @@t
vysvětlil	vy @@svět @@l @@i @@l
vysvětlivky	vy @@svět @@l @@i @@vk @@y
vysvětlovat	vy @@svět @@l @@ova @@t
vysvětlováním	vy @@svět @@l @@ová @@n @@ím
vysvětluje	vy @@svět @@l @@uje
vysvětluju	vy @@svět @@l @@uj @@u
vysychat	vy @@sych @@a @@t
vysypal	vy @@syp @@a @@l
vysypala	vy @@syp @@a @@l @@a
vysypat	vy @@syp @@a @@t
vysypávat	vy @@syp @@á @@v @@a @@t
vysát	vy @@sá @@t
vysávat	vy @@sá @@v @@a @@t
vysázel	vy @@sáz @@e @@l
vysázet	vy @@sáz @@e @@t
vysévat	vy @@sé @@v @@a @@t
vysíci	vy @@síc @@i
vysídlit	vy @@sídl @@i @@t
vysídlující	vy @@sídl @@uj @@íc @@í
vysílané	vy @@síl @@a @@n @@é
vysílat	vy @@síl @@a @@t
vysílačkově	vy @@síl @@ač @@k @@ov @@ě
vysílit	vy @@síl @@i @@t
vysílání	vy @@síl @@á @@n @@í
vysívat	vy @@sí @@v @@a @@t
vysířit	vy @@síř @@i @@t
vysířovat	vy @@síř @@ova @@t
vysýchat	vy @@sých @@a @@t
vysýpat	vy @@sýp @@a @@t
vytahat	vy @@tah @@a @@t
vytahovat	vy @@tah @@ova @@t
vytancovat	vy @@tanc @@ova @@t
vytanout	vy @@ta @@nou @@t
vytančit	vy @@tanč @@i @@t
vytapetovat	vy @@tapet @@ova @@t
vytelefonovat	vy @@tele @@fon @@ova @@t
vytentočkovat	vy @@ten @@t @@oč @@k @@ova @@t
vytepat	vy @@tep @@a @@t
vytermovázavší	vy @@term @@o @@váz @@a @@vš @@í
vytesat	vy @@tes @@a @@t
vytesávat	vy @@tes @@á @@v @@a @@t
vytečkovat	vy @@teč @@k @@ova @@t
vytisknout	vy @@tisk @@nou @@t
vytištěnou	vy @@tišt @@ěn @@ou
vytištění	vy @@tišt @@ěn @@í
vytknout	vy @@tk @@nou @@t
vytlachat	vy @@tlach @@a @@t
vytlačit	vy @@tlač @@i @@t
vytlačovat	vy @@tlač @@ova @@t
vytlouci	vy @@tlouc @@i
vytloukal	vy @@tlouk @@a @@l
vytloukat	vy @@tlouk @@a @@t
vytmavit	vy @@tm @@av @@i @@t
vytmelit	vy @@tmel @@i @@t
vytnout	vy @@t @@nou @@t
vytopit	vy @@top @@i @@t
vytopovávající	vy @@top @@ová @@v @@aj @@íc @@í
vytoužený	vy @@touž @@en @@ý
vytočit	vy @@toč @@i @@t
vytracený	vy @@trac @@en @@ý
vytratím	vy @@trat @@í @@m
vytrestat	vy @@trest @@a @@t
vytrhat	vy @@trh @@a @@t
vytrhl	vy @@trh @@l
vytrhnout	vy @@trh @@nou @@t
vytrhnu	vy @@trh @@n @@u
vytrhovat	vy @@trh @@ova @@t
vytrhávat	vy @@trh @@á @@v @@a @@t
vytrolitelný	vy @@trol @@i @@teln @@ý
vytroubit	vy @@troub @@i @@t
vytrpět	vy @@trp @@ě @@t
vytrvale	vy @@trv @@a @@l @@e
vytrvávat	vy @@trv @@á @@v @@a @@t
vytryskle	vy @@trysk @@l @@e
vytrysknout	vy @@trysk @@nou @@t
vytryskovat	vy @@trysk @@ova @@t
vytrácet	vy @@trác @@e @@t
vytrácí	vy @@trác @@í
vytrávit	vy @@tráv @@i @@t
vytržení	vy @@trž @@en @@í
vytušit	vy @@tuš @@i @@t
vytvarovat	vy @@tvar @@ova @@t
vytvořil	vy @@tvoř @@i @@l
vytvoříme	vy @@tvoř @@í @@me
vytvářejí	vy @@tvář @@ej @@í
vytvářeno	vy @@tvář @@e @@n @@o
vytvářet	vy @@tvář @@e @@t
vytváří	vy @@tvář @@í
vytváříme	vy @@tvář @@í @@me
vytáh	vy @@táh
vytáhl	vy @@táh @@l
vytáhla	vy @@táh @@l @@a
vytáhnout	vy @@táh @@nou @@t
vytápět	vy @@táp @@ě @@t
vytáčet	vy @@táč @@e @@t
vytékat	vy @@ték @@a @@t
vytí	vy @@t @@í
vytínatelnost	vy @@tín @@a @@teln @@ost
vytíral	vy @@tír @@a @@l
vytírat	vy @@tír @@a @@t
vytížit	vy @@tíž @@i @@t
vytýkat	vy @@týk @@a @@t
vytýkáno	vy @@týk @@á @@n @@o
vytýčit	vy @@týč @@i @@t
vytěžit	vy @@těž @@i @@t
vytřel	vy @@tř @@e @@l
vytřepat	vy @@třep @@a @@t
vytřepávat	vy @@třep @@á @@v @@a @@t
vytřeštila	vy @@třešt @@i @@l @@a
vytřeštit	vy @@třešt @@i @@t
vytřeštěný	vy @@třešt @@ěn @@ý
vytřeštěnýma	vy @@třešt @@ěn @@ýma
vytřásat	vy @@třás @@a @@t
vytřást	vy @@třás @@t
vytřásá	vy @@třás @@á
vytříbit	vy @@tříb @@i @@t
vytřídit	vy @@tříd @@i @@t
vytříděno	vy @@tříd @@ěn @@o
vytřískat	vy @@třísk @@a @@t
vytřít	vy @@tř @@í @@t
vyumělkovat	vy @@um @@ě @@l @@k @@ova @@t
vyučit	vy @@uč @@i @@t
vyučovat	vy @@uč @@ova @@t
vyučování	vy @@uč @@ová @@n @@í
vyučující	vy @@uč @@uj @@íc @@í
využijete	vy @@u @@ži @@j @@e @@te
využijí	vy @@u @@ži @@j @@í
využit	vy @@u @@ži @@t
využitkovat	vy @@u @@ži @@t @@k @@ova @@t
využití	vy @@u @@ži @@t @@í
využít	vy @@u @@ží @@t
využívat	vy @@u @@ží @@v @@a @@t
využívána	vy @@u @@ží @@v @@á @@n @@a
vyvalit	vy @@val @@i @@t
vyvalovat	vy @@val @@ova @@t
vyvalují	vy @@val @@uj @@í
vyvarovat	vy @@var @@ova @@t
vyvazovat	vy @@vaz @@ova @@t
vyvařit	vy @@vař @@i @@t
vyvařovat	vy @@vař @@ova @@t
vyvažovat	vy @@važ @@ova @@t
vyvdat	vy @@vd @@a @@t
vyvede	vy @@ved @@e
vyvenčit	vy @@ven @@č @@i @@t
vyvine	vy @@vin @@e
vyvinout	vy @@vi @@nou @@t
vyvinovat	vy @@vi @@n @@ova @@t
vyvlastňovat	vy @@vlast @@ň @@ova @@t
vyvláčet	vy @@vláč @@e @@t
vyvláčit	vy @@vláč @@i @@t
vyvléci	vy @@vléc @@i
vyvléknout	vy @@vlék @@nou @@t
vyvlíkat	vy @@vlík @@a @@t
vyvlíknout	vy @@vlík @@nou @@t
vyvodit	vy @@vod @@i @@t
vyvolaly	vy @@vol @@a @@l @@y
vyvolanými	vy @@vol @@a @@n @@ými
vyvolat	vy @@vol @@a @@t
vyvolati	vy @@vol @@a @@ti
vyvolit	vy @@vol @@i @@t
vyvoláno	vy @@vol @@á @@n @@o
vyvolány	vy @@vol @@á @@n @@y
vyvolávají	vy @@vol @@á @@v @@aj @@í
vyvolávat	vy @@vol @@á @@v @@a @@t
vyvracet	vy @@vrac @@e @@t
vyvraždit	vy @@vraž @@d @@i @@t
vyvrcholit	vy @@vrch @@ol @@i @@t
vyvrhat	vy @@vrh @@a @@t
vyvrhel	vy @@vrh @@e @@l
vyvrheli	vy @@vrh @@el @@i
vyvrhnout	vy @@vrh @@nou @@t
vyvrknout	vy @@vrk @@nou @@t
vyvrkávat	vy @@vrk @@á @@v @@a @@t
vyvrtat	vy @@vrt @@a @@t
vyvrtnout	vy @@vrt @@nou @@t
vyvrtávat	vy @@vrt @@á @@v @@a @@t
vyvrtět	vy @@vrt @@ě @@t
vyvrzat	vy @@vrz @@a @@t
vyvrátit	vy @@vrát @@i @@t
vyvrávorat	vy @@vrávor @@a @@t
vyvstávat	vy @@v @@stá @@v @@a @@t
vyvyšovat	vy @@vyš @@ova @@t
vyvzdorovat	vy @@vz @@dor @@ova @@t
vyvzpomenout	vy @@vz @@po @@me @@nou @@t
vyvztekat	vy @@vz @@tek @@a @@t
vyváděla	vy @@vád @@ě @@l @@a
vyvádět	vy @@vád @@ě @@t
vyválcovat	vy @@válc @@ova @@t
vyválet	vy @@vál @@e @@t
vyvát	vy @@vá @@t
vyvázat	vy @@váz @@a @@t
vyvázl	vy @@váz @@l
vyvázne	vy @@váz @@ne
vyváznout	vy @@váz @@nou @@t
vyvářet	vy @@vář @@e @@t
vyvážecí	vy @@váž @@e @@c @@í
vyváženou	vy @@váž @@en @@ou
vyváženě	vy @@váž @@en @@ě
vyvážit	vy @@váž @@i @@t
vyvést	vy @@vés @@t
vyvésti	vy @@vés @@ti
vyvíjejí	vy @@víj @@e @@j @@í
vyvíjen	vy @@víj @@en
vyvíjí	vy @@víj @@í
vyvýšit	vy @@výš @@i @@t
vyvěrat	vy @@věr @@a @@t
vyvětrat	vy @@větr @@a @@t
vyvětrání	vy @@větr @@á @@n @@í
vyvětřit	vy @@větř @@i @@t
vyvěšovat	vy @@věš @@ova @@t
vyvřísknout	vy @@vřísk @@nou @@t
vyzařovat	vy @@zař @@ova @@t
vyzdobit	vy @@z @@dob @@i @@t
vyzdobovat	vy @@z @@dob @@ova @@t
vyzdvihovat	vy @@zdvih @@ova @@t
vyzdvihovávaně	vy @@z @@dvih @@ová @@v @@a @@n @@ě
vyzdvihuje	vy @@z @@dvih @@uje
vyzdvihávat	vy @@zdvih @@á @@v @@a @@t
vyzdvíhávaný	vy @@zdvíh @@á @@v @@a @@n @@ý
vyzdívat	vy @@zd @@í @@v @@a @@t
vyzkoumat	vy @@z @@koum @@a @@t
vyzkoušet	vy @@z @@kouš @@e @@t
vyzkusit	vy @@z @@kus @@i @@t
vyznají	vy @@zn @@aj @@í
vyznamenala	vy @@znam @@en @@a @@l @@a
vyznamenávat	vy @@znam @@en @@á @@v @@a @@t
vyznat	vy @@zn @@a @@t
vyznačit	vy @@znač @@i @@t
vyznačovat	vy @@znač @@ova @@t
vyznám	vy @@zn @@á @@m
vyznávat	vy @@zn @@á @@v @@a @@t
vyznít	vy @@zn @@í @@t
vyznívat	vy @@zn @@í @@v @@a @@t
vyzobat	vy @@zob @@a @@t
vyzout	vy @@zou @@t
vyzouvat	vy @@zou @@v @@a @@t
vyzpovídat	vy @@z @@po @@víd @@a @@t
vyzpovídej	vy @@z @@po @@víd @@ej
vyzpovídám	vy @@z @@po @@víd @@á @@m
vyzpytovat	vy @@z @@pyt @@ova @@t
vyzpytávanost	vy @@zpyt @@á @@v @@a @@n @@ost
vyzpívat	vy @@zpí @@v @@a @@t
vyzpívávat	vy @@zpí @@v @@á @@v @@a @@t
vyzpěvovat	vy @@z @@pě @@v @@ova @@t
vyzradili	vy @@z @@rad @@i @@l @@i
vyzradit	vy @@z @@rad @@i @@t
vyzrazovat	vy @@z @@raz @@ova @@t
vyzrát	vy @@zrá @@t
vyzrávat	vy @@zrá @@v @@a @@t
vyztužit	vy @@z @@tuž @@i @@t
vyztužovat	vy @@z @@tuž @@ova @@t
vyzunknout	vy @@zunk @@nou @@t
vyzuřit	vy @@zuř @@i @@t
vyzvednout	vy @@zved @@nou @@t
vyzvednutí	vy @@z @@ved @@nu @@t @@í
vyzvedávací	vy @@z @@ved @@á @@v @@a @@c @@í
vyzvedávat	vy @@zved @@á @@v @@a @@t
vyzvánět	vy @@zván @@ě @@t
vyzvídat	vy @@z @@víd @@a @@t
vyzvědač	vy @@z @@věd @@a @@č
vyzvědačství	vy @@z @@věd @@a @@č @@stv @@í
vyzvědět	vy @@z @@věd @@ě @@t
vyzáblý	vy @@záb @@l @@ý
vyzářit	vy @@zář @@i @@t
vyzískat	vy @@získ @@a @@t
vyzívávat	vy @@zív @@á @@v @@a @@t
vyzývat	vy @@zýv @@a @@t
vyúčtovat	vy @@ú @@čt @@ova @@t
vyčarovat	vy @@čar @@ova @@t
vyčasit	vy @@čas @@i @@t
vyčasovat	vy @@čas @@ova @@t
vyčastovat	vy @@čast @@ova @@t
vyčenichat	vy @@čenich @@a @@t
vyčepovat	vy @@čep @@ova @@t
vyčerpaná	vy @@čerp @@a @@n @@á
vyčerpaný	vy @@čerp @@a @@n @@ý
vyčerpat	vy @@čerp @@a @@t
vyčerpávající	vy @@čerp @@á @@v @@aj @@íc @@í
vyčerpávat	vy @@čerp @@á @@v @@a @@t
vyčesat	vy @@čes @@a @@t
vyčesávat	vy @@čes @@á @@v @@a @@t
vyčetla	vy @@čet @@l @@a
vyčichat	vy @@čich @@a @@t
vyčichnout	vy @@čich @@nou @@t
vyčinil	vy @@čin @@i @@l
vyčinit	vy @@čin @@i @@t
vyčistil	vy @@čist @@i @@l
vyčistit	vy @@čist @@i @@t
vyčištěnej	vy @@čišt @@ěn @@ej
vyčišťovat	vy @@čišť @@ova @@t
vyčkat	vy @@čk @@a @@t
vyčkávat	vy @@čk @@á @@v @@a @@t
vyčlenit	vy @@člen @@i @@t
vyčleňovat	vy @@čleň @@ova @@t
vyčmuchat	vy @@čmuch @@a @@t
vyčnívat	vy @@čn @@í @@v @@a @@t
vyčpít	vy @@čp @@í @@t
vyčpět	vy @@čp @@ě @@t
vyčuchat	vy @@čuch @@a @@t
vyčuhovat	vy @@čuh @@ova @@t
vyčurat	vy @@čur @@a @@t
vyčurávatelnost	vy @@čur @@á @@v @@a @@teln @@ost
vyčárkovat	vy @@čár @@k @@ova @@t
vyčíhat	vy @@číh @@a @@t
vyčíhnout	vy @@číh @@nou @@t
vyčíslit	vy @@čísl @@i @@t
vyčíslovat	vy @@čísl @@ova @@t
vyčíst	vy @@čís @@t
vyčísti	vy @@čís @@ti
vyčítat	vy @@čít @@a @@t
vyňal	vy @@ňa @@l
vyňavše	vy @@ň @@a @@v @@še
vyřadit	vy @@řad @@i @@t
vyřazovat	vy @@řaz @@ova @@t
vyřezal	vy @@řez @@a @@l
vyřezat	vy @@řez @@a @@t
vyřezán	vy @@řez @@á @@n
vyřezávat	vy @@řez @@á @@v @@a @@t
vyřešení	vy @@řeš @@en @@í
vyřinout	vy @@ři @@nou @@t
vyřizovat	vy @@řiz @@ova @@t
vyřizování	vy @@řiz @@ová @@n @@í
vyřizuji	vy @@řiz @@uj @@i
vyřiďte	vy @@řiď @@te
vyřkikli	vy @@řkik @@l @@i
vyřknout	vy @@řk @@nou @@t
vyřádit	vy @@řád @@i @@t
vyřídil	vy @@říd @@i @@l
vyřídit	vy @@říd @@i @@t
vyříditi	vy @@říd @@i @@ti
vyřídí	vy @@říd @@í
vyřídím	vy @@říd @@í @@m
vyříznout	vy @@říz @@nou @@t
vyříznutelný	vy @@říz @@nu @@teln @@ý
vyšachovávání	vy @@šach @@ová @@v @@á @@n @@í
vyšamotovat	vy @@šamot @@ova @@t
vyšetřovací	vy @@šetř @@ova @@c @@í
vyšetřoval	vy @@šetř @@ova @@l
vyšetřovat	vy @@šetř @@ova @@t
vyšetřovatel	vy @@šetř @@ova @@tel
vyšetřovatelé	vy @@šetř @@ova @@tel @@é
vyšetříme	vy @@šetř @@í @@me
vyšinout	vy @@ši @@nou @@t
vyšklebovat	vy @@škleb @@ova @@t
vyškobrtat	vy @@škobrt @@a @@t
vyškolení	vy @@škol @@en @@í
vyškolit	vy @@škol @@i @@t
vyškrabat	vy @@škrab @@a @@t
vyškrabovat	vy @@škrab @@ova @@t
vyškrabávat	vy @@škrab @@á @@v @@a @@t
vyškrtat	vy @@škrt @@a @@t
vyškrtnout	vy @@škrt @@nou @@t
vyškrtávat	vy @@škrt @@á @@v @@a @@t
vyškrábat	vy @@škráb @@a @@t
vyškrábnout	vy @@škráb @@nou @@t
vyškubat	vy @@škub @@a @@t
vyškubnout	vy @@škub @@nou @@t
vyškvařit	vy @@škvař @@i @@t
vyšla	vy @@š @@l @@a
vyšlapat	vy @@šlap @@a @@t
vyšlapovat	vy @@šlap @@ova @@t
vyšle	vy @@šl @@e
vyšlehat	vy @@šleh @@a @@t
vyšlehnout	vy @@šleh @@nou @@t
vyšlo	vy @@š @@l @@o
vyšlápnout	vy @@šláp @@nou @@t
vyšoupnout	vy @@šoup @@nou @@t
vyšpehovat	vy @@špeh @@ova @@t
vyšplhat	vy @@šplh @@a @@t
vyšplíchat	vy @@šplích @@a @@t
vyšplíchnout	vy @@šplích @@nou @@t
vyšpulit	vy @@špul @@i @@t
vyšroubovat	vy @@šroub @@ova @@t
vyšroubovávat	vy @@šroub @@ová @@v @@a @@t
vyštepovat	vy @@štep @@ova @@t
vyštvat	vy @@štv @@a @@t
vyštípat	vy @@štíp @@a @@t
vyštípnout	vy @@štíp @@nou @@t
vyštěbetat	vy @@štěbet @@a @@t
vyštěkl	vy @@štěk @@l
vyštěknout	vy @@štěk @@nou @@t
vyštěrkovat	vy @@štěrk @@ova @@t
vyšupat	vy @@šup @@a @@t
vyšvihl	vy @@švih @@l
vyšvihnout	vy @@švih @@nou @@t
vyšít	vy @@ší @@t
vyšívat	vy @@ší @@v @@a @@t
vyšňořit	vy @@šňoř @@i @@t
vyšňořovat	vy @@šňoř @@ova @@t
vyšší	vyš @@š @@í
vyšších	vyš @@š @@ích
vyššího	vyš @@š @@ího
vyšším	vyš @@š @@í @@m
vyššími	vyš @@š @@ími
vyššímu	vyš @@š @@ímu
vyšťourat	vy @@šťour @@a @@t
vyšťárat	vy @@šťár @@a @@t
vyťukal	vy @@ťuk @@a @@l
vyťukat	vy @@ťuk @@a @@t
vyťukávat	vy @@ťuk @@á @@v @@a @@t
vyžadonit	vy @@žad @@on @@i @@t
vyžadovalo	vy @@žad @@ova @@l @@o
vyžadujeme	vy @@žad @@uje @@me
vyžaduji	vy @@žad @@uj @@i
vyžalovat	vy @@žal @@ova @@t
vyždímat	vy @@ždím @@a @@t
vyžehat	vy @@žeh @@a @@t
vyžehlit	vy @@žehl @@i @@t
vyžehnout	vy @@žeh @@nou @@t
vyženit	vy @@žen @@i @@t
vyživovat	vy @@ži @@v @@ova @@t
vyživovávatelný	vy @@ži @@v @@ová @@v @@a @@teln @@ý
vyžle	vyžle
vyžlábkovat	vy @@žláb @@k @@ova @@t
vyžmolit	vy @@žmol @@i @@t
vyžvanit	vy @@žvan @@i @@t
vyžvatlal	vy @@žvatl @@a @@l
vyžádalo	vy @@žád @@a @@l @@o
vyžádat	vy @@žád @@a @@t
vyžádání	vy @@žád @@á @@n @@í
vyžíhat	vy @@žíh @@a @@t
vyžínat	vy @@žín @@a @@t
vyžírat	vy @@žír @@a @@t
vzadu	v @@zad @@u
vzal	vz @@a @@l
vzala	vz @@a @@l @@a
vzali	vz @@a @@l @@i
vzalo	vz @@a @@l @@o
vzaly	vz @@a @@l @@y
vzbouzet	vz @@bouz @@e @@t
vzbouřit	vz @@bouř @@i @@t
vzbudili	vz @@bud @@i @@l @@i
vzbuditi	vz @@bud @@i @@ti
vzchop	vz @@chop
vzdal	vz @@d @@a @@l
vzdalovat	vz @@dal @@ova @@t
vzdechnout	vz @@dech @@nou @@t
vzdechy	vz @@dech @@y
vzdej	vz @@d @@ej
vzdorovat	vz @@dor @@ova @@t
vzdout	vz @@dou @@t
vzducholodi	vz @@duch @@o @@lod @@i
vzducholodí	vz @@duch @@o @@lod @@í
vzduchu	vz @@duch @@u
vzdušné	vz @@duš @@n @@é
vzdušně	vz @@duš @@n @@ě
vzdychat	vz @@dych @@a @@t
vzdychl	vz @@dych @@l
vzdychnout	vz @@dych @@nou @@t
vzdálena	vz @@dál @@en @@a
vzdáleni	vz @@dál @@en @@i
vzdálenost	vz @@dál @@en @@ost
vzdálený	vz @@dál @@en @@ý
vzdát	vz @@d @@á @@t
vzdávat	vz @@d @@á @@v @@a @@t
vzdávám	vz @@d @@á @@v @@á @@m
vzdělaný	vz @@děl @@a @@n @@ý
vzdělat	vz @@děl @@a @@t
vzdělavatelský	vz @@děl @@a @@v @@a @@tel @@sk @@ý
vzdělavatelův	vz @@děl @@a @@v @@a @@tel @@ův
vzdělávat	vz @@děl @@á @@v @@a @@t
vzdělávání	vz @@děl @@á @@v @@á @@n @@í
vzejde	vze @@jd @@e
vzejít	vze @@jí @@t
vzepnout	vze @@p @@nou @@t
vzepřít	vze @@př @@í @@t
vzestup	vze @@stup
vzestupné	vze @@stup @@n @@é
vzhled	vz @@hled
vzhlédneme	vz @@hléd @@ne @@me
vzhlédnout	vz @@hléd @@nou @@t
vzhlížet	vz @@hlíž @@e @@t
vzkaz	vz @@kaz
vzkazovat	vz @@kaz @@ova @@t
vzkazuje	vz @@kaz @@uje
vzklíčit	vz @@klíč @@i @@t
vzkvétal	vz @@kvét @@a @@l
vzkvétat	vz @@kvét @@a @@t
vzkypět	vz @@kyp @@ě @@t
vzkázat	vz @@káz @@a @@t
vzkřiknout	vz @@křik @@nou @@t
vzletěl	vz @@let @@ě @@l
vzletěli	vz @@let @@ě @@l @@i
vzletět	vz @@let @@ě @@t
vzlykající	vz @@lyk @@aj @@íc @@í
vzlykal	vz @@lyk @@a @@l
vzlykala	vz @@lyk @@a @@l @@a
vzlykat	vz @@lyk @@a @@t
vzlyknout	vz @@lyk @@nou @@t
vzlyku	vz @@lyk @@u
vzlétat	vz @@lét @@a @@t
vzlétnout	vz @@lét @@nou @@t
vzlétnouti	vz @@lét @@nou @@ti
vzlétněme	vz @@lét @@n @@ěme
vzlétávat	vz @@lét @@á @@v @@a @@t
vzlínat	vz @@lín @@a @@t
vzlítnout	vz @@lít @@nou @@t
vzlítávat	vz @@lít @@á @@v @@a @@t
vzmoci	vz @@moc @@i
vzmužit	vz @@muž @@i @@t
vznesenějšímu	vz @@nes @@en @@ějš @@ímu
vznesl	vz @@nes @@l
vznešené	vz @@neš @@en @@é
vznešeného	vz @@neš @@en @@ého
vznešený	vz @@neš @@en @@ý
vznešených	vz @@neš @@en @@ých
vznešeným	vz @@neš @@en @@ým
vznikající	vz @@nik @@aj @@íc @@í
vznikajících	vz @@nik @@aj @@íc @@ích
vznikat	vz @@nik @@a @@t
vznikl	vz @@nik @@l
vzniklo	vz @@nik @@l @@o
vznikne	vz @@nik @@ne
vzniknout	vz @@nik @@nou @@t
vzniká	vz @@nik @@á
vznos	vz @@nos
vznést	vz @@nés @@t
vznítit	vz @@nít @@i @@t
vzněcovat	vz @@něc @@ova @@t
vzor	v @@zor
vzorkovat	v @@zor @@k @@ova @@t
vzorná	v @@zor @@n @@á
vzoru	v @@zor @@u
vzpamatoval	vz @@pamat @@ova @@l
vzpamatovat	vz @@pamat @@ova @@t
vzpamatuj	vz @@pamat @@uj
vzpažit	vz @@paž @@i @@t
vzplát	vz @@pl @@á @@t
vzpomeneš	vz @@po @@men @@e @@š
vzpomenou	vz @@po @@men @@ou
vzpomenout	vz @@po @@me @@nou @@t
vzpomeň	vz @@po @@meň
vzpomněl	vz @@po @@mn @@ě @@l
vzpomněla	vz @@po @@mn @@ě @@l @@a
vzpomnělo	vz @@po @@mn @@ě @@l @@o
vzpomnět	vz @@po @@mn @@ě @@t
vzpomínal	vz @@po @@mín @@a @@l
vzpomínala	vz @@po @@mín @@a @@l @@a
vzpomínat	vz @@po @@mín @@a @@t
vzpomínka	vz @@po @@mín @@k @@a
vzpomínky	vz @@po @@mín @@k @@y
vzpomínkám	vz @@po @@mín @@k @@ám
vzpomíná	vz @@po @@mín @@á
vzpomínám	vz @@po @@mín @@á @@m
vzpoura	vz @@pour @@a
vzpourám	vz @@pour @@ám
vzpruhy	vz @@pruh @@y
vzpružit	vz @@pruž @@i @@t
vzpružovat	vz @@pruž @@ova @@t
vzpurnost	vz @@pur @@n @@ost
vzpínat	vz @@pín @@a @@t
vzpírat	vz @@pír @@a @@t
vzpřimovat	vz @@přim @@ova @@t
vzpříma	vz @@přím @@a
vzpřímit	vz @@přím @@i @@t
vzpříčit	vz @@příč @@i @@t
vzrušit	vz @@ruš @@i @@t
vzrušovat	vz @@ruš @@ova @@t
vzrušuje	vz @@ruš @@uje
vzrůstat	vz @@růst @@a @@t
vztahem	vz @@tah @@em
vztahovat	vz @@tah @@ova @@t
vztahu	vz @@tah @@u
vztahuje	vz @@tah @@uje
vztahující	vz @@tah @@uj @@íc @@í
vztažené	vz @@taž @@en @@é
vztek	vz @@tek
vztekal	vz @@tek @@a @@l
vztekat	vz @@tek @@a @@t
vztekem	vz @@tek @@em
vztekle	vz @@tek @@l @@e
vzteknout	vz @@tek @@nou @@t
vzteku	vz @@tek @@u
vztyčeným	vz @@tyč @@en @@ým
vztyčil	vz @@tyč @@i @@l
vztyčit	vz @@tyč @@i @@t
vztyčovat	vz @@tyč @@ova @@t
vztáhl	vz @@táh @@l
vzácnou	vzácn @@ou
vzácné	vzácn @@é
vzácného	vzácn @@ého
vzácnějších	vzácn @@ějš @@ích
vzájemně	v @@zá @@jem @@n @@ě
vzývat	v @@zýv @@a @@t
vzňal	vz @@ň @@a @@l
vábit	váb @@i @@t
vábný	váb @@n @@ý
vábívaný	váb @@í @@v @@a @@n @@ý
václav	václav
václave	václav @@e
václavem	václav @@em
váha	váh @@a
váhal	váh @@a @@l
váhat	váh @@a @@t
váhu	váh @@u
válcované	válc @@ova @@n @@é
válcovat	válc @@ova @@t
válel	vál @@e @@l
válela	vál @@e @@l @@a
válečnému	váleč @@n @@ému
války	válk @@y
válí	vál @@í
válčit	válč @@i @@t
vám	v @@ám
vánoce	vánoc @@e
vápenatět	vápen @@at @@ě @@t
vápenět	vápen @@ě @@t
vápna	vápn @@a
vápnit	vápn @@i @@t
vápno	vápn @@o
vás	v @@ás
vát	vá @@t
vázance	váz @@a @@n @@c @@e
vázanka	váz @@a @@n @@k @@a
vázat	váz @@a @@t
váznout	váz @@nou @@t
vázány	váz @@á @@n @@y
váš	v @@á @@š
vášeň	vášeň
vášně	vášn @@ě
vážim	váž @@i @@m
vážnosti	váž @@n @@ost @@i
vážností	váž @@n @@ost @@í
vážnou	váž @@n @@ou
vážnější	váž @@n @@ěj @@š @@í
vážnět	váž @@n @@ě @@t
váží	váž @@í
vé	vé
vést	vés @@t
vésti	vés @@ti
vévoda	vé @@vod @@a
vévodit	vévod @@i @@t
vézt	véz @@t
ví	v @@í
víc	víc
více	více
vícekráte	více @@kráte
víceméně	více @@mén @@ě
vícerychlostně	více @@rychl @@ost @@n @@ě
víceúčelové	více @@účel @@ov @@é
víceúčelově	více @@účel @@ov @@ě
víckrát	víc @@krát
vídat	víd @@a @@t
vídni	vídn @@i
vídně	vídn @@ě
vídávat	víd @@á @@v @@a @@t
víla	víl @@a
vím	v @@í @@m
vímeť	v @@í @@m @@e @@ť
vína	vín @@a
vínem	vín @@em
víno	vín @@o
vínovoměděný	vín @@ov @@o @@měd @@ěn @@ý
víra	vír @@a
vísky	vís @@k @@y
vít	ví @@t
vítané	vít @@a @@n @@é
vítat	vít @@a @@t
vítr	vítr
vítáno	vít @@á @@n @@o
vítězit	vítěz @@i @@t
vítězně	vítěz @@n @@ě
vítězstvím	vítěz @@stv @@í @@m
víčkovat	víč @@k @@ova @@t
víře	víř @@e
vířit	víř @@i @@t
víš	v @@í @@š
vížit	víž @@i @@t
vústit	v @@úst @@i @@t
vý	vý
výboru	vý @@bor @@u
výběr	vý @@běr
výběrový	vý @@běr @@ov @@ý
výběrově	vý @@běr @@ov @@ě
výběru	vý @@běr @@u
východ	vý @@chod
východiska	vý @@chod @@isk @@a
východisko	vý @@chod @@isk @@o
východní	vý @@chod @@n @@í
východních	vý @@chod @@n @@ích
východoněmecké	vý @@chod @@o @@něm @@ec @@k @@é
východozairský	vý @@chod @@o @@zair @@sk @@ý
